id,cluster
299403.0, 0
299407.0, 0
299408.0, 0
299410.0, 0
299414.0, 0
299419.0, 0
299455.0, 0
299502.0, 0
2253755.0, 0
3418557.0, 0
4047708.0, 0
4997730.0, 0
7600917.0, 0
9438384.0, 0
9438394.0, 0
9438438.0, 0
9438461.0, 0
9438466.0, 0
9438522.0, 0
9438527.0, 0
9438531.0, 0
9438538.0, 0
9438543.0, 0
9438658.0, 0
9438667.0, 0
9438671.0, 0
9438700.0, 0
9438709.0, 0
9440013.0, 0
9440028.0, 0
9440041.0, 0
9440064.0, 0
9440077.0, 0
9440091.0, 0
9440099.0, 0
9440106.0, 0
9440939.0, 0
9441953.0, 0
9441960.0, 0
9441977.0, 0
1.0410638E7, 0
1.1178702E7, 0
1.3471962E7, 0
1.347207E7, 0
1.3472162E7, 0
1.347225E7, 0
1.3472482E7, 0
1.347259E7, 0
1.3472712E7, 0
1.3560356E7, 0
1.3560379E7, 0
1.3964928E7, 0
1.3964941E7, 0
1.5822983E7, 0
1.5823016E7, 0
1.651708E7, 0
1.6517174E7, 0
1.6517413E7, 0
1.6517537E7, 0
1.6517783E7, 0
1.6518088E7, 0
1.6518176E7, 0
1.6518423E7, 0
1.6518562E7, 0
1.6518734E7, 0
1.6519004E7, 0
1.6519143E7, 0
1.6519299E7, 0
1.6519437E7, 0
1.6519557E7, 0
1.6519651E7, 0
1.6519862E7, 0
1.6520075E7, 0
1.6520191E7, 0
1.6520365E7, 0
1.6520512E7, 0
1.6520669E7, 0
1.6520902E7, 0
1.6520976E7, 0
1.6521007E7, 0
1.6521136E7, 0
1.6521299E7, 0
1.652149E7, 0
1.6521602E7, 0
1.6521641E7, 0
1.6521857E7, 0
1.6678402E7, 0
1.9886699E7, 0
1.9886714E7, 0
2.4553853E7, 0
2.4755869E7, 0
2.6936565E7, 0
2.6936566E7, 0
2.6936567E7, 0
2.6936568E7, 0
2.6936569E7, 0
2.7540991E7, 0
3.2692918E7, 0
3.7836165E7, 0
3.7836199E7, 0
3.7836218E7, 0
3.7836232E7, 0
3.7836255E7, 0
3.7836264E7, 0
4.1465122E7, 0
4.1801704E7, 0
4.1802551E7, 0
4.1802767E7, 0
4.1803403E7, 0
4.1803615E7, 0
4.1803632E7, 0
4.1961921E7, 0
4.2102468E7, 0
4.2102494E7, 0
4.2116446E7, 0
4.2116518E7, 0
4.2116642E7, 0
4.2116814E7, 0
4.2116823E7, 0
4.211683E7, 0
4.2416981E7, 0
4.2417033E7, 0
4.4130344E7, 0
4.4131009E7, 0
4.413164E7, 0
4.4134822E7, 0
4.4135519E7, 0
4.413609E7, 0
4.4136994E7, 0
4.4138163E7, 0
4.4138326E7, 0
4.4139672E7, 0
4.4140524E7, 0
4.4140684E7, 0
4.414097E7, 0
4.4141427E7, 0
4.4141566E7, 0
4.4142108E7, 0
4.4142392E7, 0
4.4220209E7, 0
4.4220259E7, 0
4.4220276E7, 0
4.4220402E7, 0
4.4220578E7, 0
